remoteness_area, address_line_1, hospname, address_line_2, ogc_fid, state, _2012_13_peer_group_name, geocode_type, longitude, latitude
"Very remote","49 Hammond ST","Goodooga","Goodooga 2831",405,"NSW","Outpatient hospital","establishment",147.4559393,-29.1099442
"Outer Regional","112 Mayne ST","Gulgong","Gulgong 2852",406,"NSW","Outpatient hospital","premise",150.9102879,-33.7713808
"Inner Regional","139 Church ST","Mudgee","Mudgee 2850",407,"NSW","Small public acute with surgery/obstetrics","establishment",149.5888359,-32.6031748
"Outer Regional","128 Cathundral ST","Narromine","Narromine 2821",408,"NSW","Other small public acute","establishment",148.2391701,-32.2426481
"Remote","15 Hoskins ST","Nyngan (MPS)","Nyngan 2825",409,"NSW","Other small public acute","establishment",147.1988601,-31.5692884
"Outer Regional","28 Harris ST","Trangie (MPS)","Trangie 2823",410,"NSW","Very small public","establishment",151.19464,-33.8709
"Remote","141 Fox ST","Walgett","Walgett 2832",411,"NSW","Other small public acute","establishment",148.1154657,-30.0311583
"Outer Regional","30 Thornton ST","Wellington","Wellington 2820",412,"NSW","Other small public acute","establishment",148.9522605,-32.5498436
"Remote","Lot 25 Pandora ST","Lightning Ridge (MPS)","Lightning Ridge 2834",413,"NSW","Other small public acute","street_address",147.982061,-29.4299091
"Inner Regional","110 Cobbora RD","Lourdes Dubbo","Dubbo 2830",414,"NSW","Non-acute public-mixed subacute and non-acute","street_address",148.6273614,-32.2385112
"Inner Regional","3 Osman ST","Blayney (MPS)","Blayney 2799",415,"NSW","Very small public","establishment",149.2510003,-33.5379767
"Inner Regional","64 Liverpool ST","Cowra","Cowra 2794",416,"NSW","Small public acute with surgery/obstetrics","establishment",148.6925516,-33.832286
"Outer Regional","Lot 1 Elgin ST","Forbes","Forbes 2871",417,"NSW","Small public acute with surgery/obstetrics","street_address",151.5549959,-32.7326743
"Outer Regional","80-96 Cowra RD","Grenfell (MPS)","Grenfell 2810",418,"NSW","Very small public","street_address",148.1673418,-33.8943554
"Inner Regional","130 King ST","Molong","Molong 2866",419,"NSW","Other small public acute","establishment",151.183952,-33.89346
"Inner Regional","67-73 North ST","Oberon (MPS)","Oberon 2787",420,"NSW","Other small public acute","establishment",149.853116,-33.705411
"Inner Regional","1502 Forest RD","Orange Health Service","Orange 2800",421,"NSW","Large public acute","establishment",149.0939552,-33.3173267
"Outer Regional","18 Coleman RD","Parkes","Parkes 2870",422,"NSW","Small public acute with surgery/obstetrics","establishment",148.1708584,-33.1264638
"Outer Regional","111 Newell HWY","Peak Hill","Peak Hill 2869",423,"NSW","Very small public","establishment",148.1995797,-32.7357036
"Outer Regional","44 Brookview ST","Trundle (MPS)","Trundle 2875",424,"NSW","Very small public","establishment",147.70398,-32.921069
"Outer Regional","24 Fitzgerald ST","Rylstone (MPS)","Rylstone 2849",425,"NSW","Other small public acute","premise",153.1352814,-30.2913718
"Outer Regional","1 Hinkler ST","Tullamore (MPS)","Tullamore 2874",426,"NSW","Very small public","establishment",147.569034,-32.63498
"Outer Regional","41-43 Court ST","Balranald (MPS)","Balranald 2715",427,"NSW","Other small public acute","establishment",143.569428,-34.645108
"Outer Regional","1 Silver City HWY","Wentworth","Wentworth 2648",428,"NSW","Very small public","establishment",141.9227026,-34.1098302
"Outer Regional","176 Thomas ST","Broken Hill","Broken Hill 2880",429,"NSW","Medium public acute","establishment",141.4552974,-31.9477545
"Very remote","1 Columbus ST","Ivanhoe","Ivanhoe 2878",430,"NSW","Outpatient hospital","establishment",144.2952073,-32.8945014
"Very remote","14 Ross ST","Wilcannia (MPS)","Wilcannia 2836",431,"NSW","Very small public","establishment",143.3853267,-31.5569397
"Major Cities","1-11 Hainsworth ST","Cumberland","Westmead 2145",432,"NSW","Psychiatric public","establishment",150.9943055,-33.8006474
"Major Cities","Pacific HWY","Coral Tree Family Centre","North Ryde 2113",433,"NSW","Psychiatric public","establishment",151.277383,-33.418798
"Major Cities","72 Watt ST","Hunter New England Mater Mental Health Service","Newcastle 2300",434,"NSW","Psychiatric public","establishment",151.7814231,-32.9307324
"Remote","Gap RD","Alice Springs Hospital","Alice Springs 870",435,"NT","Large public acute","establishment",133.8780158,-23.7056578
"Very remote","Schmidt ST","Tennant Creek Hospital","Tennant Creek 860",436,"NT","Small public acute with surgery/obstetrics","establishment",134.1869569,-19.6475733
"Major Cities","Herston Road","ROYAL CHILDREN'S HOSPITAL","Herston 4006",437,"QLD","Childrens","establishment",153.025335,-27.4487527
"Major Cities","199 Ipswich Road","PRINCESS ALEXANDRA HOSPITAL","Woolloongabba 4102",438,"QLD","Principal referral","establishment",153.0334354,-27.498955
"Major Cities","Whites Road","WYNNUM HOSPITAL","Lota 4179",439,"QLD","Non-acute public-rehabilitation and GEM","establishment",153.1819134,-27.4640324
"Major Cities","McKean Street","CABOOLTURE HOSPITAL","Caboolture 4510",440,"QLD","Medium public acute","establishment",152.9635107,-27.0804191
"Inner Regional","11-17 Leonard Street","BOONAH HOSPITAL","Boonah 4310",441,"QLD","Other small public acute","establishment",152.6788834,-27.9989947
"Inner Regional","30 Highland Street","ESK HOSPITAL","Esk 4312",442,"QLD","Other small public acute","establishment",152.4183155,-27.240357
"Inner Regional","97-103 William Street","GATTON HOSPITAL","Gatton 4343",443,"QLD","Other small public acute","establishment",152.2764588,-27.5667352
"Inner Regional","19 Brown Street","KILCOY HOSPITAL","Kilcoy 4515",444,"QLD","Other small public acute","establishment",152.561535,-26.941008
"Inner Regional","75 William Street","LAIDLEY HOSPITAL","Laidley 4341",445,"QLD","Other small public acute","establishment",152.400065,-27.6326411
"Major Cities","1 Hospital Boulevard","GOLD COAST HOSPITAL","Southport 4215",446,"QLD","Principal referral","establishment",153.3817795,-27.9595695
"Outer Regional","Alice Street","BIGGENDEN HOSPITAL","Biggenden 4621",447,"QLD","Other small public acute","establishment",152.050739,-25.5058091
"Inner Regional","44 Broadhurst Street","CHILDERS HOSPITAL","Childers 4660",448,"QLD","Other small public acute","establishment",152.2731629,-25.2395353
"Outer Regional","69 Warton Street","GAYNDAH HOSPITAL","Gayndah 4625",449,"QLD","Other small public acute","establishment",151.6044481,-25.6308196
"Outer Regional","5 King Street","GIN GIN HOSPITAL","Gin Gin 4671",450,"QLD","Other small public acute","establishment",151.9536696,-24.985958
"Inner Regional","12 Henry Street","GYMPIE HOSPITAL","Gympie 4570",451,"QLD","Medium public acute","establishment",152.6584363,-26.1849769
"Inner Regional","166 Youngman Street","KINGAROY HOSPITAL","Kingaroy 4610",452,"QLD","Small public acute with surgery/obstetrics","establishment",151.8387274,-26.5314595
"Inner Regional","185 Walker Street","MARYBOROUGH HOSPITAL","Maryborough 4650",453,"QLD","Medium public acute","establishment",152.690269,-25.522242
"Outer Regional","35 Flinders Street","MONTO HOSPITAL","Monto 4630",454,"QLD","Other small public acute","establishment",151.112726,-24.866282
"Outer Regional","150 Heussman Street","MOUNT PERRY HEALTH CENTRE","Mount Perry 4671",455,"QLD","Very small public","establishment",151.6471073,-25.1820401
"Outer Regional","96 Leichhardt Street","MUNDUBBERA HOSPITAL","Mundubbera 4626",456,"QLD","Other small public acute","establishment",151.294278,-25.588401
"Inner Regional","135 Brisbane Street","NANANGO HOSPITAL","Nanango 4615",457,"QLD","Other small public acute","establishment",152.008931,-26.665209
"Outer Regional","Bramston Street","WONDAI HOSPITAL","Wondai 4606",458,"QLD","Very small public","establishment",151.879147,-26.3228766
"Outer Regional","Slessar Street","CHINCHILLA HOSPITAL","Chinchilla 4413",459,"QLD","Small public acute with surgery/obstetrics","establishment",150.6351273,-26.7411496
"Outer Regional","Bowen Street","GOONDIWINDI HOSPITAL","Goondiwindi 4390",460,"QLD","Small public acute with surgery/obstetrics","establishment",150.3023224,-28.5479327
"Outer Regional","13 Dalby Street","JANDOWAE HOSPITAL","Jandowae 4410",461,"QLD","Very small public","establishment",151.1059027,-26.7813129
"Inner Regional","50 Commens Street","MILLMERRAN HOSPITAL","Millmerran 4357",462,"QLD","Other small public acute","establishment",151.2629012,-27.8787447
"Inner Regional","Corner Beale and Fitzpatrick Streets","OAKEY HOSPITAL","Oakey 4401",463,"QLD","Other small public acute","establishment",151.719515,-27.4242811
"Outer Regional","8 McGregor Terrace","STANTHORPE HOSPITAL","Stanthorpe 4380",464,"QLD","Small public acute with surgery/obstetrics","establishment",151.9295808,-28.6610248
"Outer Regional","15 Bilton Street","TARA HOSPITAL","Tara 4421",465,"QLD","Other small public acute","establishment",150.456642,-27.27315
"Remote","Miller Street","TAROOM HOSPITAL","Taroom 4420",466,"QLD","Other small public acute","establishment",149.7984144,-25.6389284
"Inner Regional","Pechey Street","TOOWOOMBA HOSPITAL","Toowoomba 4350",467,"QLD","Large public acute","establishment",151.9455379,-27.5698678
"Inner Regional","56 Locke Street","WARWICK HOSPITAL","Warwick 4370",468,"QLD","Small public acute with surgery/obstetrics","establishment",152.0178733,-28.223934
"Remote","14 Henderson Road","WANDOAN HOSPITAL","Wandoan 4419",469,"QLD","Outpatient hospital","establishment",149.9567701,-26.1197557
"Very remote","72 King Street","CHARLEVILLE HOSPITAL","Charleville 4470",470,"QLD","Small public acute with surgery/obstetrics","establishment",146.23876,-26.4109371
"Very remote","56 Wicks Street","CUNNAMULLA HOSPITAL","Cunnamulla 4490",471,"QLD","Other small public acute","establishment",145.6902024,-28.0712984
"Remote","Barwon Street","MUNGINDI HOSPITAL","Mungindi 2406",472,"QLD","Other small public acute","establishment",148.9891416,-28.9729226
"Very remote","30 Gyrica Street","QUILPIE HOSPITAL","Quilpie 4480",473,"QLD","Very small public","establishment",144.2746674,-26.6164183
"Outer Regional","197-234 Mcdowall Street","ROMA HOSPITAL","Roma 4455",474,"QLD","Small public acute with surgery/obstetrics","establishment",148.7757078,-26.5685703
"Remote","Ivan Street","SURAT HOSPITAL","Surat 4417",475,"QLD","Other small public acute","establishment",149.0639458,-27.1564741
"Very remote","Dowling Street","THARGOMINDAH HOSPITAL","Thargomindah 4492",476,"QLD","Outpatient hospital","establishment",143.8211511,-27.9975168
"Very remote","Gordon Street","ALPHA HOSPITAL","Alpha 4724",477,"QLD","Very small public","establishment",146.6366864,-23.6548068
"Outer Regional","2 Hospital Road","BILOELA HOSPITAL","Biloela 4715",478,"QLD","Small public acute with surgery/obstetrics","establishment",150.5173925,-24.3960667
"Outer Regional","Mackenzie Street","BLACKWATER HOSPITAL","Blackwater 4717",479,"QLD","Other small public acute","establishment",148.8783276,-23.5722079
"Outer Regional","69 Hospital Road","EMERALD HOSPITAL","Emerald 4720",480,"QLD","Small public acute with surgery/obstetrics","establishment",148.1550826,-23.5156819
"Outer Regional","14 Nott Street","MOURA HOSPITAL","Moura 4718",481,"QLD","Other small public acute","establishment",149.9763936,-24.5762884
"Remote","Woodbine Street","SPRINGSURE HOSPITAL","Springsure 4722",482,"QLD","Other small public acute","establishment",148.0849124,-24.1201705
"Outer Regional","The Boulevard","THEODORE HOSPITAL","Theodore 4719",483,"QLD","Other small public acute","establishment",150.0756444,-24.9431465
"Inner Regional","8 Hoskyn Drive","CAPRICORN COAST HOSPITAL & HEALTH SERVICE","Yeppoon 4703",484,"QLD","Small public acute with surgery/obstetrics","establishment",150.7334746,-23.143586
"Remote","1 Munns Drive","WOORABINDA HOSPITAL","Woorabinda 4702",485,"QLD","Other small public acute","establishment",149.4550185,-24.1329462
"Very remote","Lodge Street","ARAMAC HOSPITAL","Aramac 4726",486,"QLD","Outpatient hospital","establishment",145.2455916,-22.9680423
"Very remote","Oak Street","BARCALDINE HOSPITAL","Barcaldine 4725",487,"QLD","Other small public acute","establishment",145.2941338,-23.5534142
"Very remote","Wills Street","BOULIA PRIMARY HEALTH CENTRE","Boulia 4829",488,"QLD","Outpatient hospital","establishment",139.9081961,-22.9083549
"Very remote","1 Hospital Road","JUNDAH PRIMARY HEALTH CENTRE","Jundah 4736",489,"QLD","Outpatient hospital","establishment",143.0706183,-24.8201068
"Very remote","St Helena Street","ISISFORD PRIMARY HEALTH CENTRE","Isisford 4731",490,"QLD","Outpatient hospital","establishment",144.4387861,-24.2607505
"Remote","Francis Street","CLERMONT HOSPITAL","Clermont 4721",491,"QLD","Other small public acute","establishment",147.6323358,-22.826503
"Inner Regional","475 Bridge Road","MACKAY BASE HOSPITAL","Mackay 4740",492,"QLD","Large public acute","establishment",149.1554981,-21.1464047
"Outer Regional","26-34 Taylor Street","PROSERPINE HOSPITAL","Proserpine 4800",493,"QLD","Small public acute with surgery/obstetrics","establishment",148.5849949,-20.4002734
"Outer Regional","1 Hospital Street","SARINA HOSPITAL","Sarina 4737",494,"QLD","Other small public acute","establishment",149.2103377,-21.4214358
"Outer Regional","2 Chippendale Street","AYR HOSPITAL","Ayr 4807",495,"QLD","Small public acute with surgery/obstetrics","establishment",147.4093453,-19.5646845
"Outer Regional","137-139 Gill Street","CHARTERS TOWERS HOSPITAL","Charters Towers 4820",496,"QLD","Other small public acute","establishment",146.2641027,-20.0758058
"Outer Regional","2-16 Mcilwraith Street","INGHAM HOSPITAL","Ingham 4850",497,"QLD","Other small public acute","establishment",146.1639168,-18.652356
"Outer Regional","100 Angus Smith Drive","THE TOWNSVILLE HOSPITAL","Douglas 4814",498,"QLD","Principal referral","establishment",146.7623348,-19.3206881
"Outer Regional","Corner of Louise and Jack Streets","ATHERTON HOSPITAL","Atherton 4883",499,"QLD","Small public acute with surgery/obstetrics","establishment",145.4832486,-17.267089
"Outer Regional","128 Munro Street","BABINDA HOSPITAL","Babinda 4861",500,"QLD","Other small public acute","establishment",145.9187319,-17.3431052
"Outer Regional","The Esplanade","CAIRNS BASE HOSPITAL","Cairns 4870",501,"QLD","Large public acute","establishment",145.7684511,-16.9119706
"Very remote","21 Hospital Road","CHILLAGOE HOSPITAL","Chillagoe 4871",502,"QLD","Outpatient hospital","establishment",144.5279574,-17.1501782
"Remote","48 Hope Street","COOKTOWN HOSPITAL","Cooktown 4895",503,"QLD","Other small public acute","establishment",145.2507411,-15.477477
"Very remote","Sircom Street","CROYDON HOSPITAL","Croydon 4871",504,"QLD","Outpatient hospital","establishment",142.2401081,-18.2112443
"Very remote","Fourth Street","FORSAYTH HOSPITAL","Forsayth 4871",505,"QLD","Outpatient hospital","establishment",143.6034823,-18.5876756
"Outer Regional","1-11 Highleigh Road","GORDONVALE HOSPITAL","Gordonvale 4865",506,"QLD","Non-acute public-rehabilitation and GEM","establishment",145.7862348,-17.0874809
"Outer Regional","23 Grace Street","HERBERTON HOSPITAL","Herberton 4887",507,"QLD","Non-acute public-rehabilitation and GEM","establishment",145.3804366,-17.3802592
"Outer Regional","87 Rankin Street","INNISFAIL HOSPITAL","Innisfail 4860",508,"QLD","Small public acute with surgery/obstetrics","establishment",146.0303111,-17.5192312
"Outer Regional","21 Lloyd Street","MAREEBA HOSPITAL","Mareeba 4880",509,"QLD","Small public acute with surgery/obstetrics","establishment",145.4245933,-16.9874067
"Outer Regional","9 Hospital Street","MOSSMAN HOSPITAL","Mossman 4873",510,"QLD","Small public acute with surgery/obstetrics","establishment",145.3684311,-16.4640702
"Remote","2 Galena Street","MOUNT GARNET OUTPATIENTS CLINIC","Mount Garnet 4872",511,"QLD","Outpatient hospital","premise",153.2434322,-27.4897263
null,"","Albury Wodonga Health","Various",732,"VIC",null,"establishment",146.8798617,-36.1319212
"Very remote","163 Douglas Street","THURSDAY ISLAND HOSPITAL","Thursday Island 4875",512,"QLD","Small public acute with surgery/obstetrics","establishment",142.2101202,-10.5881987
"Outer Regional","Bryant Street","TULLY HOSPITAL","Tully 4854",513,"QLD","Small public acute with surgery/obstetrics","establishment",145.9241763,-17.9278253
"Very remote","Lot 407 John Evans Drive","WEIPA HOSPITAL","Weipa 4874",514,"QLD","Small public acute with surgery/obstetrics","establishment",141.8668869,-12.6409298
"Outer Regional","1 Bukki Road","YARRABAH HOSPITAL","Yarrabah 4871",515,"QLD","Other small public acute","establishment",145.8777295,-16.9315865
"Remote","Aerodrome Road","HOPEVALE MEDICAL CENTRE","Hope Vale 4895",516,"QLD","Very small public","establishment",145.104338,-15.2930288
"Remote","100 Douglas Street","WUJAL WUJAL COMMUNITY HOSPITAL","Wujal Wujal 4895",517,"QLD","Very small public","establishment",145.3184532,-15.9500635
"Very remote","1 Burke Street","JULIA CREEK HOSPITAL","Julia Creek 4823",518,"QLD","Other small public acute","establishment",141.750425,-20.656579
"Remote","30 Camooweal Street","MOUNT ISA HOSPITAL","Mount Isa 4825",519,"QLD","Medium public acute","establishment",139.4938786,-20.7304545
"Very remote","12 Matheson Street","DAJARRA HEALTH CLINIC","Dajarra 4825",520,"QLD","Very small public","establishment",139.514478,-21.6943057
"Very remote","Carrington Street","KOWANYAMA PRIMARY HEALTH CARE CENTRE","Kowanyama 4871",521,"QLD","Very small public","establishment",142.2196362,-10.583543
"Remote","Main Street","CAPELLA OUTPATIENTS CLINIC","Bollon 4488",522,"QLD","Outpatient hospital","establishment",148.02192,-23.0802948
"Remote","Slider Street","CRACOW OUTPATIENTS CLINIC","Capella 4702",523,"QLD","Outpatient hospital","establishment",148.02192,-23.0802948
"Remote","3-5 Stephens Street","DUARINGA OUTPATIENTS CLINIC","Dimbulah 4872",524,"QLD","Outpatient hospital","cafe",151.9367848,-27.5714499
"Very remote","Queensland Country Women's Association Hall","LAURA PRIMARY HEALTH CARE CENTRE","Glenmorgan 4423",525,"QLD","Very small public","establishment",146.816043,-19.256631
"Outer Regional","1 Gladwell Street","MAGNETIC ISLAND HEALTH SERVICE CENTRE","Laura 4871",526,"QLD","Outpatient hospital","establishment",146.8496369,-19.1577083
"Outer Regional","76 Sooning Street","MALANDA OUTPATIENTS CLINIC","Nelly Bay 4819",527,"QLD","Outpatient hospital","street_address",146.849874,-19.1574869
"Remote","3/15 Catherine Street","MEANDARRA OUTPATIENTS CLINIC","Malanda 4885",528,"QLD","Outpatient hospital","establishment",145.593863,-17.353832
"Very remote","45 Palm Avenue","MORVEN OUTPATIENTS CLINIC","Millaa Millaa 4886",529,"QLD","Outpatient hospital","atm",153.4718803,-28.1210117
"Outer Regional","Warrego Highway","RAVENSHOE OUTPATIENTS CLINIC","Morven 4468",530,"QLD","Outpatient hospital","establishment",145.4818838,-17.6068314
"Very remote","27 Kuradilla Street","MALAKOOLA PRIMARY HEALTH CARE CENTRE","Ravenshoe 4888",531,"QLD","Outpatient hospital","establishment",145.4818838,-17.6068314
"Remote","984 Rubyvale Road","GEMFIELDS OUTPATIENTS CLINIC","Sapphire 4702",532,"QLD","Outpatient hospital","street_address",147.7205651,-23.4625665
"Very remote","Main Street","MAPOON PRIMARY HEALTH CARE CENTRE","Mapoon 4874",533,"QLD","Outpatient hospital","establishment",153.2021973,-27.7172779
"Outer Regional","35 Gladstone Road","CHARTERS TOWERS REHABILITATION UNIT","Charters Towers 4820",534,"QLD","Psychiatric public","establishment",146.2802345,-20.0770393
"Outer Regional","138 Thuringowa Drive","KIRWAN MENTAL HEALTH REHABILITATION UNIT","Kirwan 4817",535,"QLD","Psychiatric public","establishment",146.7332248,-19.3041828
"Major Cities","205 Hampstead RD","Hampstead Rehabilitation Centre","Northfield 5085",536,"SA","Non-acute public-mixed subacute and non-acute","establishment",138.6186983,-34.861116
"Major Cities","28 Woodville RD","The Queen Elizabeth Hospital","Woodville South 5011",537,"SA","Large public acute","establishment",138.5330755,-34.8837417
"Major Cities","21 Belmore TCE","Pregnancy Advisory Centre","Woodville 5011",538,"SA","Unpeered","establishment",138.5427917,-34.879913
"Major Cities","65 Military RD","St. Margaret's Hospital","Semaphore South 5019",539,"SA","Non-acute public-mixed subacute and non-acute","establishment",138.4808216,-34.8465274
null,"","West Wimmera Health Service","Various",733,"VIC",null,"establishment",141.6554493,-36.3341406
"Major Cities","72 King William RD","Women's and Children's Hospital","North Adelaide 5006",540,"SA","Womens and childrens","establishment",138.5999903,-34.9115459
"Remote","17 South TCE","Cowell District Hospital","Cowell 5602",541,"SA","Very small public","establishment",136.9217436,-33.685646
"Remote","15 Martin TCE","Kimba District Health and Aged Care","Kimba 5641",542,"SA","Very small public","establishment",136.4162194,-33.1432023
"Very remote","3 Eyre HWY","Ceduna District Health Service","Ceduna 5690",543,"SA","Small public acute with surgery/obstetrics","establishment",133.672244,-32.118862
"Remote","1 Flinders DR","Streaky Bay Hospital","Streaky Bay 5680",544,"SA","Other small public acute","establishment",134.2172247,-32.7928668
"Inner Regional","2 Albert ST","Gumeracha District Soldiers Memorial Hospital","Gumeracha 5233",545,"SA","Other small public acute","establishment",138.8818793,-34.8262447
"Remote","3 The ESP","Kangaroo Island Health Service","Kingscote 5223",546,"SA","Small public acute with surgery/obstetrics","establishment",137.641351,-35.6527777
"Remote","1A Vardon TCE","Lameroo District Health Services","Lameroo 5302",547,"SA","Other small public acute","establishment",140.5143049,-35.3281207
"Inner Regional","74 Princes HWY","Tailem Bend District Hospital","Tailem Bend 5260",548,"SA","Other small public acute","establishment",139.45264,-35.2546925
"Inner Regional","Wellington RD","Mount Barker District Soldiers' Memorial Hospital","Mount Barker 5251",549,"SA","Small public acute with surgery/obstetrics","establishment",138.8700363,-35.0824343
"Inner Regional","28 Hospital RD","Mount Pleasant District Hospital","Mount Pleasant 5235",550,"SA","Other small public acute","establishment",139.0545756,-34.7739231
"Inner Regional","96 Swanport RD","The Murray Bridge Soldiers' Memorial Hospital","Murray Bridge 5253",551,"SA","Small public acute with surgery/obstetrics","establishment",139.2804033,-35.12905
"Inner Regional","Bay RD","South Coast District Hospital","Victor Harbor 5211",552,"SA","Small public acute with surgery/obstetrics","establishment",138.6072746,-35.5612761
"Inner Regional","14 Alfred PL","Strathalbyn and District Health Service","Strathalbyn 5255",553,"SA","Small public acute with surgery/obstetrics","establishment",138.8934665,-35.2576347
"Outer Regional","Stephens ST","Booleroo Centre District Hospital and Health Services","Booleroo Centre 5482",554,"SA","Other small public acute","establishment",138.3506699,-32.8794067
"Outer Regional","Bay ST","Port Broughton District Hospital & Health Services","Port Broughton 5522",555,"SA","Other small public acute","establishment",137.9339052,-33.6008387
"Very remote","Black Oak DR","Leigh Creek Health Services","Leigh Creek 5731",556,"SA","Very small public","establishment",138.3987451,-30.5916143
"Very remote","Lot 43 First ST","Royal District Nursing Service of SA (Marree Health Services)","Marree 5733",557,"SA","Outpatient hospital","premise",138.0423402,-32.3464726
"Very remote","Lot 7 First ST","Oodnadatta Hospital","Oodnadatta 5734",558,"SA","Very small public","premise",139.6700638,-34.0355016
"Outer Regional","71 Hospital RD","Port Augusta Hospital & Regional Health Services","Port Augusta 5700",559,"SA","Medium public acute","premise",137.7756258,-32.5102219
"Remote","16-28 Burgoyne ST","Roxby Downs Health Services","Roxby Downs 5725",560,"SA","Other small public acute","doctor",136.894457,-30.562583
"Outer Regional","20 Wood TCE","Whyalla Hospital & Health Services","Whyalla 5600",561,"SA","Medium public acute","establishment",137.5773293,-33.0341237
"Outer Regional","Hawdon ST","Riverland Regional Health Service - Barmera Hospital","Barmera 5345",562,"SA","Other small public acute","establishment",140.472129,-34.2486379
"Outer Regional","Maddern ST","Riverland Regional Health Service - Berri Hospital","Berri 5343",563,"SA","Small public acute with surgery/obstetrics","establishment",140.6019907,-34.2754777
"Outer Regional","Ral Ral AV","Renmark Paringa District Hospital","Renmark 5341",564,"SA","Small public acute with surgery/obstetrics","establishment",140.7443028,-34.1647104
"Outer Regional","1 Lawrie TCE","Waikerie Hospital & Health Services","Waikerie 5330",565,"SA","Small public acute with surgery/obstetrics","establishment",139.9849262,-34.1823912
"Major Cities","216 Daws RD","Repatriation General Hospital","Daw Park 5041",566,"SA","Large public acute","establishment",138.5898038,-34.9905488
null,"","Wimmera Health Care Group","Various",734,"VIC",null,"establishment",142.208812,-36.7125503
"Outer Regional","23 South TCE","Bordertown Memorial Hospital","Bordertown 5268",567,"SA","Small public acute with surgery/obstetrics","establishment",140.7668784,-36.3121828
"Outer Regional","276 Wehl ST","Mount Gambier and Districts Health Service","Mount Gambier 5290",568,"SA","Medium public acute","establishment",140.7860902,-37.8053468
"Outer Regional","101 Jenkins TCE","Naracoorte Health Service","Naracoorte 5271",569,"SA","Small public acute with surgery/obstetrics","establishment",140.743792,-36.966454
"Major Cities","21 Hutchinson RD","Gawler Health Service","Gawler East 5118",570,"SA","Small public acute with surgery/obstetrics","establishment",138.7551263,-34.5933465
"Inner Regional","29 North ST","Angaston District Hospital","Angaston 5353",571,"SA","Small public acute with surgery/obstetrics","establishment",139.0539848,-34.5038345
"Inner Regional","16 War Memorial DR","Balaklava Soldier's Memorial District Hospital","Balaklava 5461",572,"SA","Other small public acute","establishment",138.420194,-34.139663
"Outer Regional","46 Commercial ST","Burra Hospital","Burra 5417",573,"SA","Very small public","establishment",138.9342303,-33.6853152
"Outer Regional","47 Farrel Flat RD","Clare Hospital","Clare 5453",574,"SA","Small public acute with surgery/obstetrics","establishment",138.614399,-33.8294553
"Inner Regional","40 Ward ST","Eudunda Hospital","Eudunda 5374",575,"SA","Very small public","establishment",139.090509,-34.175262
"Inner Regional","26 Nash ST","Kapunda Hospital","Kapunda 5373",576,"SA","Small public acute with surgery/obstetrics","establishment",138.9219047,-34.3305206
"Outer Regional","68 Robert ST","Central Yorke Peninsula Hospital (Maitland)","Maitland 5573",577,"SA","Other small public acute","establishment",137.6742303,-34.3704579
"Inner Regional","23 Moorhouse TCE","Riverton District Soldiers' Memorial Hospital","Riverton 5412",578,"SA","Other small public acute","establishment",138.742231,-34.160396
"Outer Regional","South TCE","Snowtown Hospital","Snowtown 5520",579,"SA","Very small public","establishment",138.2120654,-33.7869429
"Remote","19 Waterloo Bay RD","Southern Yorke Peninsula Health Service (Yorketown)","Yorketown 5576",580,"SA","Other small public acute","establishment",137.604989,-35.021194
"Inner Regional","15 Mill ST","Tanunda War Memorial Hospital","Tanunda 5352",581,"SA","Small public acute with surgery/obstetrics","establishment",138.9608215,-34.5277596
"Outer Regional","1 Ernest TCE","Northern Yorke Peninsula Health Service (Wallaroo)","Wallaroo 5556",582,"SA","Small public acute with surgery/obstetrics","establishment",137.636053,-33.927262
"Major Cities","226 Fullarton RD","Glenside Hospital","Glenside 5065",583,"SA","Psychiatric public","establishment",138.6272207,-34.9447283
"Major Cities","200 Fosters RD","Oakden Hospital","Oakden 5086",584,"SA","Psychiatric public","establishment",138.637672,-34.854419
"Inner Regional","48 Liverpool Street","Royal Hobart Hospital","Hobart 7000",585,"TAS","Principal referral","establishment",147.3298084,-42.880201
"Outer Regional","3278 Huon Highway","Huon Hospital","Franklin 7113",586,"TAS","Very small public","establishment",147.015965,-43.081156
"Inner Regional","3 Richmond Street","New Norfolk Hospital","New Norfolk 7140",587,"TAS","Other small public acute","establishment",147.0596786,-42.7819517
"Outer Regional","1614 Nubeena Road","Tasman MPC","Nubeena 7184",588,"TAS","Very small public","establishment",147.742416,-43.096704
"Remote","37 Wellington Street","May Shaw District Nursing Centre","Swansea 7190",589,"TAS","Very small public","establishment",148.077113,-42.127503
"Outer Regional","13 Church Street","Midlands MPC","Oatlands 7120",590,"TAS","Very small public","establishment",147.3697902,-42.2997753
"Inner Regional","274-280 Charles Street","Launceston General Hospital","Launceston 7250",591,"TAS","Large public acute","establishment",147.1414295,-41.4464366
"Outer Regional","13 Bolton Street","Beaconsfield MPS","Beaconsfield 7270",592,"TAS","Very small public","street_address",146.8060096,-41.1938612
"Outer Regional","70 High Street","Campbell Town MPS","Campbell Town 7210",593,"TAS","Very small public","establishment",147.4933304,-41.9263164
"Outer Regional","Cameron Street","NESM - Scottsdale Hospital","Scottsdale 7260",594,"TAS","Small public acute with surgery/obstetrics","establishment",147.5224385,-41.1545347
"Inner Regional","10 Archer Street","Toosey Memorial - Longford","Longford 7301",595,"TAS","Very small public","establishment",147.1196581,-41.5934127
